Timestamp,SET.Open,SET.High,SET.Low,SET.Close,Vol
30-04-75            ,100,100,85.73,91.64,506
02-07-75            ,91.9,100.11,91.9,92.1,"1,498"
01-10-75            ,91.11,92.82,84.07,84.07,821
02-01-76            ,83.95,83.95,76.43,77.57,984
01-04-76            ,77.44,82.68,77.44,77.63,"1,196"
02-07-76            ,77.37,79.92,77.37,79.65,"1,363"
01-10-76            ,79.72,82.76,79.33,82.69,"1,460"
04-01-77            ,82.48,97.68,82.48,97.68,"6,255"
01-04-77            ,97.65,115.86,97.65,113.47,"12,583"
04-07-77            ,115.18,151.33,115.18,149.93,"28,012"
03-10-77            ,148.78,205.08,148.58,181.58,"50,027"
03-01-78            ,186.13,210.54,184.87,188.61,"41,124"
03-04-78            ,190.12,191.84,180.98,189.99,"26,563"
03-07-78            ,189.77,206.93,180.79,206.93,"39,898"
02-10-78            ,209.9,266.19,209.9,257.73,"66,060"
02-01-79            ,259.81,259.81,209.72,218.09,"30,586"
02-04-79            ,214.67,214.67,158.57,175.58,"22,078"
02-07-79            ,174.42,178.44,164.81,169.32,"16,848"
01-10-79            ,169.02,178.05,146.11,149.4,"23,074"
02-01-80            ,148.23,148.23,133.17,138.25,"9,405"
01-04-80            ,140.18,140.18,122.87,127.81,"18,575"
02-07-80            ,127.26,127.96,113.33,118.87,"12,510"
01-10-80            ,119.22,130.91,116.55,124.67,"16,567"
02-01-81            ,124.56,129.03,124.15,124.31,"7,736"
01-04-81            ,123.84,124.52,112.23,112.41,"4,587"
02-07-81            ,112.11,113.35,103.19,105.12,"7,453"
01-10-81            ,104.93,110.95,104.48,106.62,"8,468"
04-01-82            ,106.58,107.34,102.86,102.98,"3,965"
01-04-82            ,103.04,107.06,102.03,106.61,"7,328"
02-07-82            ,106.3,138.77,106.09,126.24,"33,868"
01-10-82            ,125.67,127.84,119.51,123.5,"13,833"
04-01-83            ,123.57,131.73,122.88,131.33,"14,152"
01-04-83            ,131.72,139.95,130.12,139.88,"22,281"
04-07-83            ,139.78,148.36,139.78,142.04,"18,175"
03-10-83            ,142.07,142.07,132.67,134.47,"8,820"
03-01-84            ,134.04,134.89,129.98,130.09,"6,676"
02-04-84            ,129.34,133.16,128.69,133.14,"10,285"
02-07-84            ,133.04,134.25,130.87,132.89,"23,070"
01-10-84            ,132.58,144.83,132.5,142.29,"34,129"
02-01-85            ,141.73,145.11,138.54,145.11,"19,007"
01-04-85            ,145.12,157.23,144.95,155.19,"20,775"
02-07-85            ,153.89,158.08,145.67,146.74,"18,043"
01-10-85            ,146.43,147.31,132.76,134.95,"14,679"
02-01-86            ,134.21,140.06,129.85,129.85,"19,446"
01-04-86            ,129.47,131.51,127.26,131.51,"16,030"
02-07-86            ,130.84,162.37,130.84,162.37,"35,722"
01-10-86            ,162.84,207.98,162.84,207.2,"71,701"
02-01-87            ,209.16,230.3,203.14,228.97,"88,324"
01-04-87            ,227.91,299.87,227.91,299.87,"124,944"
02-07-87            ,305.45,428.19,305.45,428.19,"298,471"
01-10-87            ,436.92,472.86,243.97,284.94,"371,301"
04-01-88            ,287.71,405.06,287.71,388.9,"509,961"
01-04-88            ,389.83,461.86,384.02,452.7,"397,049"
04-07-88            ,450.98,471.45,431.42,444.61,"334,491"
03-10-88            ,445.03,446.8,362.16,386.73,"321,315"
03-01-89            ,391.23,447.41,391.23,440.88,"568,083"
03-04-89            ,443.71,606.21,443.71,606.21,"780,287"
04-07-89            ,610.42,724.93,607.97,689.51,"997,950"
02-10-89            ,681.53,879.19,661.45,879.19,"907,320"
02-01-90            ,899.61,918.67,760.39,851.53,"836,145"
02-04-90            ,853.74,"1,060.22",834.99,"1,060.22","1,684,920"
02-07-90            ,"1,082.67","1,143.78",613.95,641.56,"3,370,666"
01-10-90            ,654.39,713.85,544.3,612.86,"2,352,630"
02-01-91            ,594.95,885.16,582.48,865.74,"3,432,377"
01-04-91            ,857.18,908.9,749.82,765.21,"1,891,729"
02-07-91            ,739.54,743.95,622.81,670.79,"2,455,705"
01-10-91            ,665.93,711.36,614.08,711.36,"2,645,527"
02-01-92            ,712.02,831.81,711.81,822.72,"4,016,385"
01-04-92            ,822.72,837.22,653.13,751.45,"3,477,913"
02-07-92            ,752.45,880.21,721.14,847,"8,374,301"
01-10-92            ,849.99,970.51,792.51,893.42,"11,979,493"
04-01-93            ,894.47,"1,005.23",845.16,865.23,"5,617,750"
01-04-93            ,864.41,914.33,808.35,877.52,"5,011,108"
02-07-93            ,881.34,"1,003.08",877.62,971.44,"8,352,781"
01-10-93            ,971.44,"1,695.18",971.44,"1,682.85","13,563,203"
04-01-94            ,"1,705.59","1,789.16","1,186.56","1,239.99","6,601,484"
01-04-94            ,"1,238.80","1,394.60","1,185.25","1,273.34","4,347,025"
04-07-94            ,"1,270.02","1,554.41","1,264.31","1,485.71","7,283,386"
03-10-94            ,"1,486.70","1,540.74","1,263.20","1,360.09","4,820,018"
03-01-95            ,"1,360.80","1,374.06","1,123.68","1,216.68","4,836,606"
03-04-95            ,"1,215.32","1,429.55","1,148.00","1,394.77","6,902,898"
03-07-95            ,"1,385.55","1,486.07","1,270.20","1,294.23","5,359,019"
02-10-95            ,"1,294.23","1,334.38","1,169.55","1,280.81","3,775,661"
03-01-96            ,"1,283.78","1,422.61","1,241.67","1,289.73","6,220,430"
01-04-96            ,"1,290.11","1,352.98","1,212.44","1,247.08","4,012,694"
02-07-96            ,"1,249.23","1,272.58",975.51,"1,099.01","4,238,741"
01-10-96            ,"1,100.28","1,101.54",789.76,831.57,"4,887,249"
02-01-97            ,828.55,870.57,664.45,705.43,"6,182,004"
01-04-97            ,699.58,721.54,457.97,527.28,"7,813,608"
02-07-97            ,521.48,696.22,490.24,544.54,"9,742,325"
01-10-97            ,545.35,552.87,354.29,372.69,"6,164,411"
05-01-98            ,368.13,564.17,337.39,459.11,"13,404,101"
01-04-98            ,458.14,463.86,253.45,267.33,"8,466,284"
02-07-98            ,276.43,304.4,204.59,253.82,"14,351,574"
01-10-98            ,252.18,400.99,244.02,355.81,"34,613,994"
04-01-99            ,355.27,418.07,308.74,352.01,"14,748,754"
01-04-99            ,352.31,551.85,347.35,521.77,"38,786,438"
02-07-99            ,545.24,547.47,374.36,389.49,"26,372,832"
01-10-99            ,393.28,484.55,365.6,481.92,"16,414,909"
04-01-00            ,490.32,499.52,368.08,400.32,"19,193,930"
03-04-00            ,397.89,415.6,297.41,325.69,"12,567,750"
03-07-00            ,326.53,329.55,273.6,277.29,"14,054,446"
02-10-00            ,275.78,300.55,249.77,269.19,"14,610,587"
2003-01-01,268.85,347.19,268.85,291.94,"54,024,525"
2002-04-01,291.21,327.7,276.95,322.55,"28,676,112"
2002-07-01,323.23,344.52,266.07,277.04,"39,504,416"
2001-10-01,277.25,309.83,265.13,303.85,"52,263,101"
2002-01-02,304,396.7,302.38,373.95,"120,147,046"
2001-04-02,373.97,430.67,360.47,389.1,"59,351,123"
2002-07-02,388.12,404.75,330.98,331.79,"35,576,442"
2001-10-02,330.92,368.77,323.18,356.48,"46,512,768"
2002-01-03,356.45,382.71,347.55,364.55,"53,996,640"
2001-04-03,363.24,467.25,359.02,461.82,"78,454,758"
2002-07-03,462.85,585.23,462.85,578.98,"221,673,037"
2001-10-03,579,776.78,541.41,772.15,"194,481,357"
2005-01-04,774.19,802.19,636.81,647.3,"153,146,970"
2001-04-04,646.13,719.12,576.63,646.64,"121,752,998"
2002-07-04,642.45,676.4,586.81,644.67,"139,706,637"
2001-10-04,647.52,684.57,615.77,668.1,"134,086,554"
2004-01-05,672.4,746.1,671.28,681.49,"206,991,552"
2001-04-05,680.21,699.37,651.51,675.5,"122,331,840"
