Timestamp,SET.Open,SET.High,SET.Low,SET.Close,Vol
2004-07-05,675.1,727.09,630.71,723.23,"160,323,546"
2003-10-05,722.65,722.65,656.86,713.73,"150,076,672"
2003-01-06,713.8,769.57,713.8,733.25,"246,088,832"
2003-04-06,733.75,787.55,641.03,678.13,"141,008,794"
2003-07-06,680.36,715.3,650.69,686.1,"170,327,155"
2002-10-06,687.68,748.98,587.92,679.84,"190,140,787"
2003-01-07,677.55,701.85,608.14,673.71,"128,918,272"
2002-04-07,675.19,780.41,675.19,776.79,"149,183,245"
2002-07-07,779.94,895.63,732.78,845.5,"206,671,667"
2001-10-07,844.93,924.7,790.87,858.1,"119,916,506"
2002-01-08,858.74,860.69,728.58,817.03,"171,187,686"
2001-04-08,819.71,886.57,737.83,768.59,"275,747,584"
2002-07-08,767.73,767.73,568.18,596.54,"152,927,194"
2001-10-08,600.52,602.78,380.05,449.96,"239,106,893"
2005-01-09,460.39,488.12,408.78,431.5,"137,304,819"
2001-04-09,433.5,638.05,429.22,597.48,"251,610,931"
2002-07-09,600.75,731.58,556.11,717.07,"285,428,122"
2001-10-09,718.9,758.55,666.81,734.54,"214,451,994"
2004-01-10,736.66,799.06,679.45,787.98,"167,939,341"
2001-04-10,795.83,820.09,714.66,797.31,"172,575,142"
2002-07-10,797.03,976.08,796.93,975.3,"484,288,717"
2001-10-10,979.43,"1,055.25",952.99,"1,032.76","267,608,448"
2004-01-11,"1,042.73","1,056.52",937.06,"1,047.48","225,976,909"
2001-04-11,"1,052.49","1,113.63",998.39,"1,041.48","240,336,256"
2004-07-11,"1,077.72","1,148.28",867.86,916.21,"297,293,286"
2003-10-11,883.87,"1,051.77",843.69,"1,025.32","209,080,256"
2004-01-12,"1,036.14","1,214.31","1,031.76","1,196.77","278,099,507"
2002-04-12,"1,195.96","1,247.72","1,099.15","1,172.11","248,706,611"
2002-07-12,"1,185.16","1,300.17","1,172.92","1,298.79","303,327,078"
2001-10-12,"1,295.31","1,402.86","1,263.05","1,391.93","465,158,400"
2002-01-13,"1,401.39","1,601.34","1,392.61","1,561.06","1,192,799,846"
2001-04-13,"1,562.71","1,649.77","1,338.81","1,451.90","606,549,146"
2002-07-13,"1,464.76","1,519.21","1,260.08","1,383.16","571,448,834"
2001-10-13,"1,389.17","1,485.67","1,286.70","1,298.71","397,678,349"
2002-01-14,"1,291.93","1,381.21","1,205.44","1,376.26","336,161,965"
2001-04-14,"1,377.99","1,493.14","1,369.63","1,485.75","432,019,406"
2002-07-14,"1,492.05","1,602.21","1,487.00","1,585.67","828,614,784"
2001-10-14,"1,590.13","1,603.89","1,375.99","1,497.67","1,174,433,988"
2005-01-15,"1,499.70","1,619.77","1,459.22","1,505.94","853,388,487"
2001-04-15,"1,506.35","1,575.39","1,476.16","1,504.55","467,354,712"
2002-07-15,"1,504.72","1,505.41","1,292.14","1,349.00","639,773,832"
2001-10-15,"1,353.92","1,431.86","1,251.99","1,288.02","526,955,645"
2004-01-16,"1,286.26","1,419.72","1,220.96","1,407.70","638,881,804"
2001-04-16,"1,405.07","1,452.08","1,351.27","1,444.99","594,785,492"
2004-07-16,"1,452.83","1,558.32","1,410.87","1,483.21","758,529,317"
2003-10-16,"1,490.11","1,546.58","1,343.13","1,542.94","678,090,574"
2004-01-17,"1,548.49","1,600.79","1,528.78","1,575.11","619,336,804"
2003-04-17,"1,578.48","1,591.09","1,531.68","1,574.74","502,533,588"
2003-07-17,"1,577.18","1,678.23","1,556.22","1,673.16","539,920,988"
2002-10-17,"1,677.22","1,763.36","1,673.01","1,753.71","634,640,237"
2003-01-18,"1,759.61","1,852.51","1,753.93","1,776.26","736,642,648"
2002-04-18,"1,774.72","1,805.78","1,584.68","1,595.58","771,463,556"
2002-07-18,"1,597.01","1,766.62","1,586.34","1,756.41","813,556,919"
2001-10-18,"1,762.30","1,765.06","1,546.62","1,563.88","764,450,331"
2002-01-19,"1,567.09","1,674.54","1,550.22","1,638.65","805,271,926"
2001-04-19,"1,645.37","1,735.88","1,599.10","1,730.34","793,254,350"
2001-07-19,"1,744.13","1,748.15","1,590.55","1,637.22","1,242,824,059"
2001-10-19,"1,637.59","1,642.50","1,543.22","1,579.84","1,111,973,086"
2002-01-20,"1,584.35","1,604.43",969.08,"1,125.86","1,059,356,017"
2001-04-20,"1,117.51","1,454.95","1,105.31","1,339.03","977,938,002"
2001-07-20,"1,345.62","1,391.77","1,236.53","1,237.04","1,066,999,121"
2001-10-20,"1,244.23","1,512.99","1,187.49","1,449.35","1,443,387,228"
2004-01-21,"1,428.80","1,593.93","1,425.48","1,587.21","1,738,941,603"
2001-04-21,"1,594.01","1,642.80","1,501.02","1,587.79","1,810,592,617"
2001-07-21,"1,591.04","1,658.08","1,512.28","1,605.68","1,944,140,186"
2001-10-21,"1,600.59","1,660.85","1,563.04","1,657.62","1,730,661,290"
2004-01-22,"1,664.51","1,718.55","1,580.80","1,695.24","1,801,831,000"
2001-04-22,"1,693.67","1,708.89","1,544.26","1,568.33","1,225,335,030"
2001-07-22,"1,571.19","1,672.64","1,517.51","1,589.51","1,183,523,125"
2003-10-22,"1,586.51","1,640.03","1,553.80","1,620.84","674,409,417"
